dataset,q_type,qid,question,concept_tags,student_id,answer_text,selected_option,is_correct,time_s,source,misconception_label,bloom_level,difficulty_label
SYNTH,short_answer,1074,Q 1074,regex,s1499,Explains regex,,1,43,synth,,Analyze,Easy
SYNTH,mcq,1075,Q 1075,pumping,s1558,Selected D,D,1,36,synth,,Evaluate,Easy
SYNTH,short_answer,1076,Q 1076,equivalence,s0263,Explains equivalence,,1,35,synth,,Create,Medium
SYNTH,mcq,1077,Q 1077,subset,s1940,Selected B,B,1,20,synth,,Evaluate,Easy
SYNTH,short_answer,1078,Q 1078,closure,s0543,Explains closure,,0,44,synth,miscon-closure,Evaluate,Hard
SYNTH,mcq,1079,Q 1079,parity,s0867,Selected D,D,1,28,synth,,Understand,Hard
SYNTH,short_answer,1000,Q 1000,DFA,s1547,Explains DFA,,1,27,synth,,Create,Hard
SYNTH,mcq,1001,Q 1001,NFA,s0412,Selected B,B,0,44,synth,miscon-NFA,Create,Medium
SYNTH,short_answer,1002,Q 1002,regex,s0818,Explains regex,,0,50,synth,miscon-regex,Create,Hard
SYNTH,mcq,1003,Q 1003,pumping,s0765,Selected D,D,1,50,synth,,Analyze,Hard
SYNTH,short_answer,1004,Q 1004,equivalence,s0925,Explains equivalence,,1,18,synth,,Remember,Easy
SYNTH,mcq,1005,Q 1005,subset,s0461,Selected B,B,1,39,synth,,Remember,Medium
SYNTH,short_answer,1006,Q 1006,closure,s0044,Explains closure,,0,44,synth,miscon-closure,Evaluate,Hard
SYNTH,mcq,1007,Q 1007,parity,s0472,Selected D,D,1,39,synth,,Evaluate,Easy
SYNTH,short_answer,1008,Q 1008,DFA,s0015,Explains DFA,,1,31,synth,,Remember,Hard
SYNTH,mcq,1009,Q 1009,NFA,s1293,Selected B,B,1,36,synth,,Remember,Easy
SYNTH,short_answer,1010,Q 1010,regex,s0139,Explains regex,,1,31,synth,,Remember,Medium
SYNTH,mcq,1011,Q 1011,pumping,s0146,Selected D,D,0,30,synth,miscon-pumping,Evaluate,Easy
SYNTH,short_answer,1012,Q 1012,equivalence,s0571,Explains equivalence,,0,45,synth,miscon-equivalence,Create,Medium
SYNTH,mcq,1013,Q 1013,subset,s0439,Selected B,B,1,22,synth,,Evaluate,Easy
SYNTH,short_answer,1014,Q 1014,closure,s1482,Explains closure,,1,36,synth,,Evaluate,Hard
SYNTH,mcq,1015,Q 1015,parity,s0969,Selected D,D,0,50,synth,miscon-parity,Understand,Medium
SYNTH,short_answer,1016,Q 1016,DFA,s1654,Explains DFA,,0,33,synth,miscon-DFA,Analyze,Easy
SYNTH,mcq,1017,Q 1017,NFA,s0194,Selected B,B,1,31,synth,,Remember,Hard
SYNTH,short_answer,1018,Q 1018,regex,s0883,Explains regex,,1,37,synth,,Apply,Medium
SYNTH,mcq,1019,Q 1019,pumping,s0842,Selected D,D,0,38,synth,miscon-pumping,Analyze,Hard
SYNTH,short_answer,1020,Q 1020,equivalence,s0111,Explains equivalence,,0,61,synth,miscon-equivalence,Create,Hard
SYNTH,mcq,1021,Q 1021,subset,s1324,Selected B,B,1,30,synth,,Remember,Easy
SYNTH,short_answer,1022,Q 1022,closure,s0825,Explains closure,,1,22,synth,,Create,Medium
SYNTH,mcq,1023,Q 1023,parity,s1640,Selected D,D,1,37,synth,,Remember,Easy
SYNTH,short_answer,1024,Q 1024,DFA,s0393,Explains DFA,,0,39,synth,miscon-DFA,Understand,Hard
SYNTH,mcq,1025,Q 1025,NFA,s0919,Selected B,B,0,45,synth,miscon-NFA,Understand,Medium
SYNTH,short_answer,1026,Q 1026,regex,s0376,Explains regex,,0,36,synth,miscon-regex,Apply,Medium
SYNTH,mcq,1027,Q 1027,pumping,s0512,Selected D,D,1,36,synth,,Remember,Medium
SYNTH,short_answer,1028,Q 1028,equivalence,s1655,Explains equivalence,,0,32,synth,miscon-equivalence,Evaluate,Easy
SYNTH,mcq,1029,Q 1029,subset,s0104,Selected B,B,1,25,synth,,Create,Hard
SYNTH,short_answer,1030,Q 1030,closure,s1713,Explains closure,,0,45,synth,miscon-closure,Remember,Easy
SYNTH,mcq,1031,Q 1031,parity,s1898,Selected D,D,1,44,synth,,Understand,Easy
SYNTH,short_answer,1032,Q 1032,DFA,s0833,Explains DFA,,0,48,synth,miscon-DFA,Analyze,Medium
SYNTH,mcq,1033,Q 1033,NFA,s0438,Selected B,B,0,40,synth,miscon-NFA,Analyze,Easy
SYNTH,short_answer,1034,Q 1034,regex,s0338,Explains regex,,0,32,synth,miscon-regex,Analyze,Easy
SYNTH,mcq,1035,Q 1035,pumping,s0800,Selected D,D,1,41,synth,,Apply,Medium
SYNTH,short_answer,1036,Q 1036,equivalence,s0585,Explains equivalence,,0,42,synth,miscon-equivalence,Analyze,Hard
SYNTH,mcq,1037,Q 1037,subset,s1961,Selected B,B,0,42,synth,miscon-subset,Create,Hard
SYNTH,short_answer,1038,Q 1038,closure,s1356,Explains closure,,1,41,synth,,Create,Medium
SYNTH,mcq,1039,Q 1039,parity,s0318,Selected D,D,0,40,synth,miscon-parity,Understand,Medium
SYNTH,short_answer,1040,Q 1040,DFA,s0446,Explains DFA,,0,41,synth,miscon-DFA,Remember,Hard
SYNTH,mcq,1041,Q 1041,NFA,s1507,Selected B,B,1,31,synth,,Evaluate,Easy
SYNTH,short_answer,1042,Q 1042,regex,s1532,Explains regex,,1,31,synth,,Apply,Easy
SYNTH,mcq,1043,Q 1043,pumping,s0103,Selected D,D,1,23,synth,,Evaluate,Medium
SYNTH,short_answer,1044,Q 1044,equivalence,s1030,Explains equivalence,,1,15,synth,,Evaluate,Easy
SYNTH,mcq,1045,Q 1045,subset,s0117,Selected B,B,1,32,synth,,Evaluate,Easy
SYNTH,short_answer,1046,Q 1046,closure,s1744,Explains closure,,1,22,synth,,Understand,Easy
SYNTH,mcq,1047,Q 1047,parity,s1219,Selected D,D,1,27,synth,,Remember,Hard
SYNTH,short_answer,1048,Q 1048,DFA,s1766,Explains DFA,,0,44,synth,miscon-DFA,Understand,Medium
SYNTH,mcq,1049,Q 1049,NFA,s0246,Selected B,B,1,19,synth,,Evaluate,Easy
SYNTH,short_answer,1050,Q 1050,regex,s1186,Explains regex,,1,49,synth,,Evaluate,Easy
SYNTH,mcq,1051,Q 1051,pumping,s1269,Selected D,D,0,54,synth,miscon-pumping,Remember,Medium
SYNTH,short_answer,1052,Q 1052,equivalence,s1347,Explains equivalence,,0,40,synth,miscon-equivalence,Evaluate,Hard
SYNTH,mcq,1053,Q 1053,subset,s1071,Selected B,B,1,33,synth,,Apply,Medium
SYNTH,short_answer,1054,Q 1054,closure,s0419,Explains closure,,0,36,synth,miscon-closure,Create,Hard
SYNTH,mcq,1055,Q 1055,parity,s0644,Selected D,D,1,16,synth,,Understand,Medium
SYNTH,short_answer,1056,Q 1056,DFA,s0811,Explains DFA,,1,23,synth,,Understand,Hard
SYNTH,mcq,1057,Q 1057,NFA,s1322,Selected B,B,1,43,synth,,Apply,Medium
SYNTH,short_answer,1058,Q 1058,regex,s0648,Explains regex,,1,32,synth,,Remember,Easy
SYNTH,mcq,1059,Q 1059,pumping,s0939,Selected D,D,0,27,synth,miscon-pumping,Evaluate,Hard
SYNTH,short_answer,1060,Q 1060,equivalence,s0205,Explains equivalence,,0,43,synth,miscon-equivalence,Remember,Hard
SYNTH,mcq,1061,Q 1061,subset,s0437,Selected B,B,0,53,synth,miscon-subset,Evaluate,Medium
SYNTH,short_answer,1062,Q 1062,closure,s0272,Explains closure,,1,24,synth,,Apply,Easy
SYNTH,mcq,1063,Q 1063,parity,s1801,Selected D,D,0,29,synth,miscon-parity,Understand,Medium
SYNTH,short_answer,1064,Q 1064,DFA,s0584,Explains DFA,,1,28,synth,,Understand,Medium
SYNTH,mcq,1065,Q 1065,NFA,s1708,Selected B,B,1,44,synth,,Evaluate,Hard
SYNTH,short_answer,1066,Q 1066,regex,s0620,Explains regex,,1,19,synth,,Evaluate,Hard
SYNTH,mcq,1067,Q 1067,pumping,s1084,Selected D,D,1,29,synth,,Remember,Hard
SYNTH,short_answer,1068,Q 1068,equivalence,s1674,Explains equivalence,,1,42,synth,,Evaluate,Medium
SYNTH,mcq,1069,Q 1069,subset,s1909,Selected B,B,1,40,synth,,Create,Easy
SYNTH,short_answer,1070,Q 1070,closure,s1923,Explains closure,,1,30,synth,,Understand,Medium
SYNTH,mcq,1071,Q 1071,parity,s0237,Selected D,D,0,58,synth,miscon-parity,Remember,Hard
SYNTH,short_answer,1072,Q 1072,DFA,s1134,Explains DFA,,0,38,synth,miscon-DFA,Understand,Medium
SYNTH,mcq,1073,Q 1073,NFA,s0578,Selected B,B,1,30,synth,,Evaluate,Easy
SYNTH,short_answer,1074,Q 1074,regex,s1470,Explains regex,,0,24,synth,miscon-regex,Apply,Easy
SYNTH,mcq,1075,Q 1075,pumping,s1408,Selected D,D,0,50,synth,miscon-pumping,Create,Medium
SYNTH,short_answer,1076,Q 1076,equivalence,s1036,Explains equivalence,,1,35,synth,,Analyze,Medium
SYNTH,mcq,1077,Q 1077,subset,s1855,Selected B,B,1,30,synth,,Remember,Easy
SYNTH,short_answer,1078,Q 1078,closure,s1300,Explains closure,,0,36,synth,miscon-closure,Analyze,Medium
SYNTH,mcq,1079,Q 1079,parity,s0091,Selected D,D,1,31,synth,,Remember,Medium
SYNTH,short_answer,1000,Q 1000,DFA,s1580,Explains DFA,,0,35,synth,miscon-DFA,Understand,Hard
SYNTH,mcq,1001,Q 1001,NFA,s0537,Selected B,B,0,37,synth,miscon-NFA,Understand,Hard
SYNTH,short_answer,1002,Q 1002,regex,s0905,Explains regex,,0,42,synth,miscon-regex,Evaluate,Hard
SYNTH,mcq,1003,Q 1003,pumping,s0876,Selected D,D,0,44,synth,miscon-pumping,Evaluate,Easy
SYNTH,short_answer,1004,Q 1004,equivalence,s0230,Explains equivalence,,1,34,synth,,Remember,Hard
SYNTH,mcq,1005,Q 1005,subset,s1852,Selected B,B,0,34,synth,miscon-subset,Understand,Hard
SYNTH,short_answer,1006,Q 1006,closure,s0074,Explains closure,,0,25,synth,miscon-closure,Apply,Hard
SYNTH,mcq,1007,Q 1007,parity,s1132,Selected D,D,0,30,synth,miscon-parity,Understand,Medium
SYNTH,short_answer,1008,Q 1008,DFA,s0262,Explains DFA,,1,42,synth,,Remember,Medium
SYNTH,mcq,1009,Q 1009,NFA,s0747,Selected B,B,0,36,synth,miscon-NFA,Remember,Medium
SYNTH,short_answer,1010,Q 1010,regex,s0431,Explains regex,,1,30,synth,,Create,Easy
SYNTH,mcq,1011,Q 1011,pumping,s1366,Selected D,D,0,47,synth,miscon-pumping,Remember,Medium
SYNTH,short_answer,1012,Q 1012,equivalence,s1598,Explains equivalence,,1,28,synth,,Evaluate,Medium
SYNTH,mcq,1013,Q 1013,subset,s1995,Selected B,B,1,36,synth,,Evaluate,Hard
SYNTH,short_answer,1014,Q 1014,closure,s0317,Explains closure,,0,37,synth,miscon-closure,Understand,Easy
SYNTH,mcq,1015,Q 1015,parity,s2000,Selected D,D,0,35,synth,miscon-parity,Understand,Medium
SYNTH,short_answer,1016,Q 1016,DFA,s0051,Explains DFA,,0,55,synth,miscon-DFA,Understand,Hard
SYNTH,mcq,1017,Q 1017,NFA,s1894,Selected B,B,1,38,synth,,Apply,Medium
SYNTH,short_answer,1018,Q 1018,regex,s1643,Explains regex,,1,39,synth,,Create,Hard
SYNTH,mcq,1019,Q 1019,pumping,s1661,Selected D,D,0,30,synth,miscon-pumping,Understand,Medium
SYNTH,short_answer,1020,Q 1020,equivalence,s0327,Explains equivalence,,0,34,synth,miscon-equivalence,Create,Easy
SYNTH,mcq,1021,Q 1021,subset,s0784,Selected B,B,1,29,synth,,Remember,Medium
SYNTH,short_answer,1022,Q 1022,closure,s0456,Explains closure,,1,27,synth,,Understand,Medium
SYNTH,mcq,1023,Q 1023,parity,s0717,Selected D,D,1,36,synth,,Apply,Easy
SYNTH,short_answer,1024,Q 1024,DFA,s0457,Explains DFA,,1,34,synth,,Remember,Hard
SYNTH,mcq,1025,Q 1025,NFA,s0396,Selected B,B,1,40,synth,,Analyze,Medium
SYNTH,short_answer,1026,Q 1026,regex,s0571,Explains regex,,1,26,synth,,Remember,Medium
SYNTH,mcq,1027,Q 1027,pumping,s0720,Selected D,D,0,41,synth,miscon-pumping,Create,Hard
SYNTH,short_answer,1028,Q 1028,equivalence,s0819,Explains equivalence,,0,49,synth,miscon-equivalence,Create,Hard
SYNTH,mcq,1029,Q 1029,subset,s0679,Selected B,B,0,36,synth,miscon-subset,Remember,Easy
SYNTH,short_answer,1030,Q 1030,closure,s1797,Explains closure,,0,34,synth,miscon-closure,Apply,Easy
SYNTH,mcq,1031,Q 1031,parity,s1190,Selected D,D,1,40,synth,,Apply,Easy
SYNTH,short_answer,1032,Q 1032,DFA,s0223,Explains DFA,,0,23,synth,miscon-DFA,Evaluate,Medium
SYNTH,mcq,1033,Q 1033,NFA,s0708,Selected B,B,0,52,synth,miscon-NFA,Create,Medium
SYNTH,short_answer,1034,Q 1034,regex,s0894,Explains regex,,1,27,synth,,Evaluate,Hard
SYNTH,mcq,1035,Q 1035,pumping,s0237,Selected D,D,1,29,synth,,Analyze,Hard
SYNTH,short_answer,1036,Q 1036,equivalence,s0390,Explains equivalence,,1,40,synth,,Apply,Easy
SYNTH,mcq,1037,Q 1037,subset,s1452,Selected B,B,1,36,synth,,Analyze,Easy
SYNTH,short_answer,1038,Q 1038,closure,s1065,Explains closure,,0,28,synth,miscon-closure,Evaluate,Hard
SYNTH,mcq,1039,Q 1039,parity,s1474,Selected D,D,0,33,synth,miscon-parity,Create,Hard
SYNTH,short_answer,1040,Q 1040,DFA,s1374,Explains DFA,,1,30,synth,,Understand,Medium
SYNTH,mcq,1041,Q 1041,NFA,s0884,Selected B,B,0,47,synth,miscon-NFA,Remember,Hard
SYNTH,short_answer,1042,Q 1042,regex,s1886,Explains regex,,1,33,synth,,Apply,Hard
SYNTH,mcq,1043,Q 1043,pumping,s0643,Selected D,D,1,30,synth,,Create,Easy
SYNTH,short_answer,1044,Q 1044,equivalence,s1475,Explains equivalence,,0,36,synth,miscon-equivalence,Apply,Hard
SYNTH,mcq,1045,Q 1045,subset,s0634,Selected B,B,0,54,synth,miscon-subset,Create,Medium
SYNTH,short_answer,1046,Q 1046,closure,s0669,Explains closure,,0,39,synth,miscon-closure,Analyze,Hard
SYNTH,mcq,1047,Q 1047,parity,s0606,Selected D,D,0,47,synth,miscon-parity,Evaluate,Easy
SYNTH,short_answer,1048,Q 1048,DFA,s0393,Explains DFA,,1,28,synth,,Analyze,Hard
SYNTH,mcq,1049,Q 1049,NFA,s1926,Selected B,B,1,19,synth,,Analyze,Hard
SYNTH,short_answer,1050,Q 1050,regex,s1533,Explains regex,,0,24,synth,miscon-regex,Understand,Hard
SYNTH,mcq,1051,Q 1051,pumping,s1166,Selected D,D,0,42,synth,miscon-pumping,Apply,Medium
SYNTH,short_answer,1052,Q 1052,equivalence,s1123,Explains equivalence,,0,45,synth,miscon-equivalence,Remember,Medium
SYNTH,mcq,1053,Q 1053,subset,s0588,Selected B,B,1,41,synth,,Understand,Medium
SYNTH,short_answer,1054,Q 1054,closure,s1610,Explains closure,,0,39,synth,miscon-closure,Evaluate,Hard
SYNTH,mcq,1055,Q 1055,parity,s1341,Selected D,D,0,37,synth,miscon-parity,Apply,Medium
SYNTH,short_answer,1056,Q 1056,DFA,s0905,Explains DFA,,0,42,synth,miscon-DFA,Analyze,Hard
SYNTH,mcq,1057,Q 1057,NFA,s0438,Selected B,B,1,21,synth,,Evaluate,Medium
SYNTH,short_answer,1058,Q 1058,regex,s1626,Explains regex,,0,42,synth,miscon-regex,Create,Easy
SYNTH,mcq,1059,Q 1059,pumping,s1350,Selected D,D,1,32,synth,,Remember,Medium
SYNTH,short_answer,1060,Q 1060,equivalence,s1056,Explains equivalence,,1,29,synth,,Create,Hard
SYNTH,mcq,1061,Q 1061,subset,s1269,Selected B,B,0,39,synth,miscon-subset,Apply,Easy
SYNTH,short_answer,1062,Q 1062,closure,s1677,Explains closure,,0,52,synth,miscon-closure,Understand,Hard
SYNTH,mcq,1063,Q 1063,parity,s0636,Selected D,D,0,42,synth,miscon-parity,Understand,Easy
SYNTH,short_answer,1064,Q 1064,DFA,s0302,Explains DFA,,0,37,synth,miscon-DFA,Remember,Easy
SYNTH,mcq,1065,Q 1065,NFA,s0502,Selected B,B,1,17,synth,,Analyze,Hard
SYNTH,short_answer,1066,Q 1066,regex,s1741,Explains regex,,0,29,synth,miscon-regex,Remember,Medium
SYNTH,mcq,1067,Q 1067,pumping,s0849,Selected D,D,0,44,synth,miscon-pumping,Create,Hard
SYNTH,short_answer,1068,Q 1068,equivalence,s0399,Explains equivalence,,0,33,synth,miscon-equivalence,Create,Hard
SYNTH,mcq,1069,Q 1069,subset,s0787,Selected B,B,0,37,synth,miscon-subset,Analyze,Medium
SYNTH,short_answer,1070,Q 1070,closure,s0500,Explains closure,,1,30,synth,,Understand,Hard
SYNTH,mcq,1071,Q 1071,parity,s1409,Selected D,D,0,52,synth,miscon-parity,Remember,Easy
SYNTH,short_answer,1072,Q 1072,DFA,s1595,Explains DFA,,0,48,synth,miscon-DFA,Analyze,Easy
SYNTH,mcq,1073,Q 1073,NFA,s0361,Selected B,B,1,31,synth,,Create,Hard
SYNTH,short_answer,1074,Q 1074,regex,s0952,Explains regex,,1,41,synth,,Remember,Hard
SYNTH,mcq,1075,Q 1075,pumping,s0511,Selected D,D,1,37,synth,,Remember,Medium
SYNTH,short_answer,1076,Q 1076,equivalence,s0274,Explains equivalence,,1,16,synth,,Analyze,Hard
SYNTH,mcq,1077,Q 1077,subset,s1088,Selected B,B,1,41,synth,,Evaluate,Hard
SYNTH,short_answer,1078,Q 1078,closure,s0650,Explains closure,,0,41,synth,miscon-closure,Analyze,Hard
SYNTH,mcq,1079,Q 1079,parity,s1670,Selected D,D,0,22,synth,miscon-parity,Create,Hard
SYNTH,short_answer,1000,Q 1000,DFA,s0874,Explains DFA,,1,37,synth,,Evaluate,Medium
SYNTH,mcq,1001,Q 1001,NFA,s1838,Selected B,B,0,42,synth,miscon-NFA,Understand,Hard
SYNTH,short_answer,1002,Q 1002,regex,s1765,Explains regex,,1,29,synth,,Analyze,Medium
SYNTH,mcq,1003,Q 1003,pumping,s0531,Selected D,D,1,36,synth,,Understand,Hard
SYNTH,short_answer,1004,Q 1004,equivalence,s0568,Explains equivalence,,1,29,synth,,Evaluate,Medium
SYNTH,mcq,1005,Q 1005,subset,s1284,Selected B,B,1,33,synth,,Understand,Medium
SYNTH,short_answer,1006,Q 1006,closure,s0901,Explains closure,,0,39,synth,miscon-closure,Remember,Hard
SYNTH,mcq,1007,Q 1007,parity,s0586,Selected D,D,1,29,synth,,Understand,Medium
SYNTH,short_answer,1008,Q 1008,DFA,s0688,Explains DFA,,1,21,synth,,Apply,Hard
SYNTH,mcq,1009,Q 1009,NFA,s0166,Selected B,B,1,33,synth,,Understand,Easy
SYNTH,short_answer,1010,Q 1010,regex,s0474,Explains regex,,0,56,synth,miscon-regex,Analyze,Hard
SYNTH,mcq,1011,Q 1011,pumping,s0313,Selected D,D,1,27,synth,,Create,Easy
SYNTH,short_answer,1012,Q 1012,equivalence,s0132,Explains equivalence,,1,23,synth,,Analyze,Medium
SYNTH,mcq,1013,Q 1013,subset,s0678,Selected B,B,1,25,synth,,Evaluate,Medium
SYNTH,short_answer,1014,Q 1014,closure,s0852,Explains closure,,1,18,synth,,Remember,Easy
SYNTH,mcq,1015,Q 1015,parity,s1706,Selected D,D,1,28,synth,,Analyze,Medium
SYNTH,short_answer,1016,Q 1016,DFA,s1854,Explains DFA,,1,29,synth,,Evaluate,Hard
SYNTH,mcq,1017,Q 1017,NFA,s0041,Selected B,B,0,40,synth,miscon-NFA,Evaluate,Medium
